annual population survey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ONS Crown Copyright Reserved [from Nomis on 28 February 2020],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Analysis   :,variable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Confidence :,95% confidence interval of percent figure (+/-),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date       :,Oct 2018-Sep 2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
parliamentary constituency 2010,mnemonic,Numerator,Denominator,"% all in employment who are - 1: managers, directors and senior officials (SOC2010)",Conf,Numerator,Denominator,% all in employment who are - 2: professional occupations (SOC2010),Conf,Numerator,Denominator,% all in employment who are - 3: associate prof & tech occupations (SOC2010),Conf,Numerator,Denominator,% all in employment who are - 4: administrative and secretarial occupations (SOC2010),Conf,Numerator,Denominator,% all in employment who are - 5: skilled trades occupations (SOC2010),Conf,Numerator,Denominator,"% all in employment who are - 6: caring, leisure and other service occupations (SOC2010)",Conf,Numerator,Denominator,% all in employment who are - 7: sales and customer service occupations (SOC2010),Conf,Numerator,Denominator,"% all in employment who are - 8: process, plant and machine operatives (SOC2010)",Conf
Waveney,E14001022,4700,48900,9.5,5.7,8400,48900,17.2,7.4,3400,48900,6.9,*,3500,48900,7.1,*,6100,48900,12.5,6.5,5800,48900,11.9,6.3,3000,48900,6.2,*,4800,48900,9.9,5.8
Welwyn Hatfield,E14001027,11700,66200,17.6,6.8,15400,66200,23.3,7.6,9100,66200,13.7,6.2,8700,66200,13.2,6.1,3000,66200,4.5,*,7000,66200,10.5,5.5,3900,66200,5.9,*,1600,66200,2.3,*
West Suffolk,E14001034,7800,63700,12.3,5.6,10400,63700,16.2,6.3,9900,63700,15.6,6.2,4900,63700,7.7,4.6,7900,63700,12.4,5.6,7900,63700,12.5,5.6,4600,63700,7.2,4.4,3000,63700,4.6,*
Witham,E14001045,6400,46800,13.7,6.9,9500,46800,20.4,8.1,6100,46800,13,6.8,5700,46800,12.1,6.6,6400,46800,13.6,6.9,4700,46800,10,6,1800,46800,3.9,*,2000,46800,4.3,*
Barking,E14000540,4100,63900,6.5,3.4,8900,63900,13.9,4.8,7900,63900,12.3,4.6,10200,63900,15.9,5.1,7500,63900,11.8,4.5,5400,63900,8.5,3.9,5600,63900,8.7,4,7500,63900,11.8,4.5
Battersea,E14000549,10700,68700,15.6,6.6,23200,68700,33.8,8.6,15500,68700,22.6,7.6,7400,68700,10.7,5.6,!,68700,!,!,3300,68700,4.7,*,2100,68700,3.1,*,2000,68700,3,*
Beckenham,E14000551,5700,50500,11.4,6,14700,50500,29.1,8.6,8600,50500,17,7.1,5200,50500,10.2,5.7,6400,50500,12.6,6.3,3400,50500,6.7,*,3100,50500,6.2,*,2500,50500,4.9,*
Bermondsey and Old Southwark,E14000553,8300,74600,11.1,4.9,20200,74600,27.1,6.9,20500,74600,27.5,6.9,5600,74600,7.5,4.1,3700,74600,4.9,*,4000,74600,5.4,*,2800,74600,3.8,*,2000,74600,2.7,*
Bethnal Green and Bow,E14000555,9700,75200,12.9,6.1,20700,75200,27.5,8.1,16400,75200,21.9,7.5,3700,75200,4.9,*,5700,75200,7.6,4.8,2900,75200,3.9,*,6200,75200,8.2,*,2200,75200,3,*
Bexleyheath and Crayford,E14000558,4000,48300,8.3,4.5,12500,48300,26,7.2,7500,48300,15.5,5.9,6500,48300,13.4,5.6,5500,48300,11.4,5.2,1900,48300,4,*,3300,48300,6.9,4.1,3700,48300,7.7,4.4
Brent Central,E14000591,2600,57400,4.5,*,15600,57400,27.2,9.2,9900,57400,17.3,7.8,2600,57400,4.4,*,3400,57400,5.9,*,6300,57400,11,6.5,3500,57400,6.1,*,4300,57400,7.5,*
Brent North,E14000592,9500,79400,12,5.7,13400,79400,16.9,6.6,8900,79400,11.3,5.6,7900,79400,10,5.3,9300,79400,11.8,5.7,5500,79400,6.9,4.5,9800,79400,12.4,5.8,5100,79400,6.4,*
Brentford and Isleworth,E14000593,11900,75900,15.7,7.1,19800,75900,26,8.6,19400,75900,25.5,8.5,3300,75900,4.3,*,3400,75900,4.5,*,6400,75900,8.4,*,4300,75900,5.6,*,#,75900,3.1,*
Bromley and Chislehurst,E14000604,9200,50000,18.4,7.2,12400,50000,24.7,8.1,8100,50000,16.2,6.9,6000,50000,12,6.1,1800,50000,3.7,*,3400,50000,6.7,*,3800,50000,7.5,*,2500,50000,4.9,*
Camberwell and Peckham,E14000615,4400,72000,6.1,*,22800,72000,31.7,7.3,15400,72000,21.3,6.5,5000,72000,6.9,4,3900,72000,5.4,*,8600,72000,12,5.1,4600,72000,6.4,*,!,72000,!,!
Carshalton and Wallington,E14000621,4900,51800,9.6,4.1,11300,51800,21.7,5.8,9500,51800,18.3,5.4,5700,51800,11,4.4,5700,51800,11.1,4.4,3700,51800,7.1,3.6,3800,51800,7.4,3.7,2800,51800,5.4,3.2
Chelsea and Fulham,E14000629,12700,55500,22.9,6.2,14900,55500,26.8,6.6,14600,55500,26.3,6.5,4100,55500,7.4,3.9,3300,55500,6,*,2000,55500,3.5,*,1900,55500,3.5,*,600,55500,1,*
Chingford and Woodford Green,E14000634,9400,60900,15.5,6.4,13200,60900,21.7,7.3,8400,60900,13.7,6.1,6200,60900,10.2,5.3,4100,60900,6.7,*,4900,60900,8,4.8,3300,60900,5.4,*,6100,60900,10.1,5.3
Chipping Barnet,E14000636,13300,65800,20.2,7.5,22500,65800,34.2,8.9,12700,65800,19.4,7.4,6300,65800,9.6,5.5,4600,65800,7,*,1500,65800,2.3,*,2300,65800,3.5,*,!,65800,!,!
Cities of London and Westminster,E14000639,19800,64500,30.7,8.1,16300,64500,25.2,7.6,15200,64500,23.6,7.5,3900,64500,6.1,4.2,1600,64500,2.5,*,1700,64500,2.6,*,2300,64500,3.6,*,!,64500,!,!
Croydon Central,E14000654,8500,70700,12,5.4,17900,70700,25.3,7.2,7300,70700,10.3,5,6700,70700,9.4,4.8,4400,70700,6.2,*,7200,70700,10.1,5,4900,70700,7,4.2,4200,70700,5.9,*
Croydon North,E14000655,4900,56100,8.7,5.1,9400,56100,16.8,6.8,12400,56100,22.1,7.5,4800,56100,8.6,5.1,3300,56100,5.9,*,7800,56100,13.9,6.3,6500,56100,11.5,5.8,!,56100,!,!
Croydon South,E14000656,8200,68200,12,5.5,18900,68200,27.8,7.5,11900,68200,17.4,6.4,9100,68200,13.3,5.7,4400,68200,6.5,*,4600,68200,6.8,4.2,2300,68200,3.4,*,2100,68200,3.1,*
Dagenham and Rainham,E14000657,3800,55000,6.9,3.8,6200,55000,11.4,4.8,6400,55000,11.7,4.9,8000,55000,14.5,5.3,8100,55000,14.7,5.4,5800,55000,10.6,4.6,4000,55000,7.2,3.9,5600,55000,10.2,4.6
Dulwich and West Norwood,E14000673,12200,93200,13.1,4.9,27700,93200,29.7,6.7,27200,93200,29.2,6.6,3900,93200,4.2,*,3300,93200,3.5,*,4900,93200,5.2,*,2900,93200,3.1,*,2900,93200,3.2,*
Ealing Central and Acton,E14000674,8100,56500,14.4,7.8,18700,56500,33.1,10.5,15600,56500,27.6,10,4100,56500,7.2,*,!,56500,!,!,1800,56500,3.2,*,2500,56500,4.4,*,2200,56500,3.9,*
Ealing North,E14000675,9500,66900,14.3,7.1,18600,66900,27.8,9.1,7900,66900,11.8,6.5,4700,66900,7,*,6300,66900,9.4,*,5100,66900,7.6,*,2500,66900,3.7,*,4300,66900,6.4,*
"Ealing, Southall",E14000676,6300,40900,15.5,*,11100,40900,27.2,11.9,3200,40900,7.8,*,!,40900,!,!,!,40900,!,!,3500,40900,8.6,*,3400,40900,8.3,*,5000,40900,12.2,*
East Ham,E14000679,15200,70500,21.6,8.1,12100,70500,17.2,7.5,11400,70500,16.1,7.3,5000,70500,7.1,*,6000,70500,8.5,*,4900,70500,7,*,5700,70500,8.2,*,3300,70500,4.7,*
Edmonton,E14000687,3600,50800,7.2,*,9100,50800,18,8.1,4600,50800,9,*,6500,50800,12.8,7,6100,50800,12,6.8,4300,50800,8.5,*,4900,50800,9.7,*,3700,50800,7.3,*
Eltham,E14000690,6400,52600,12.2,5.7,14400,52600,27.3,7.7,9000,52600,17.2,6.6,4200,52600,8,4.7,4800,52600,9.1,5,4200,52600,8.1,4.7,2700,52600,5.1,*,3100,52600,5.8,*
Enfield North,E14000691,6400,56900,11.3,6.1,15600,56900,27.4,8.7,8700,56900,15.3,7,6000,56900,10.6,6,4800,56900,8.5,*,3000,56900,5.2,*,3600,56900,6.3,*,3600,56900,6.3,*
"Enfield, Southgate",E14000692,7100,40400,17.7,8.8,10100,40400,25.1,9.9,8300,40400,20.7,9.3,3100,40400,7.7,*,1700,40400,4.1,*,2400,40400,5.9,*,!,40400,!,!,3500,40400,8.6,*
Erith and Thamesmead,E14000696,2900,53100,5.5,*,12800,53100,24.1,6.9,7300,53100,13.8,5.6,5300,53100,9.9,4.8,4500,53100,8.6,4.5,7800,53100,14.7,5.7,4500,53100,8.5,4.5,3600,53100,6.7,4.1
Feltham and Heston,E14000701,4400,64500,6.8,*,11400,64500,17.8,7.9,8700,64500,13.4,7.1,8800,64500,13.6,7.1,6000,64500,9.2,*,6500,64500,10.1,*,3700,64500,5.7,*,5500,64500,8.5,*
Finchley and Golders Green,E14000703,8000,57000,14,6.9,20500,57000,35.9,9.5,9100,57000,16,7.3,7200,57000,12.7,6.6,2500,57000,4.3,*,4500,57000,7.9,*,!,57000,!,!,!,57000,!,!
Greenwich and Woolwich,E14000718,9600,71300,13.4,5.1,18400,71300,25.9,6.6,11900,71300,16.6,5.6,5600,71300,7.8,4,3300,71300,4.6,*,7600,71300,10.7,4.6,2600,71300,3.6,*,2700,71300,3.8,*
Hackney North and Stoke Newington,E14000720,5700,78000,7.3,4,29500,78000,37.8,7.4,15100,78000,19.4,6,7000,78000,9,4.4,3000,78000,3.8,*,5600,78000,7.2,3.9,2700,78000,3.5,*,!,78000,!,!
Hackney South and Shoreditch,E14000721,8400,74000,11.3,5,18700,74000,25.2,6.9,18900,74000,25.5,6.9,4400,74000,5.9,3.7,1900,74000,2.6,*,5300,74000,7.2,4.1,4100,74000,5.6,*,2900,74000,4,*
Hammersmith,E14000726,10100,63200,16,5.4,15800,63200,25,6.4,18000,63200,28.6,6.6,4700,63200,7.5,3.9,2300,63200,3.7,*,3600,63200,5.7,*,1800,63200,2.8,*,1100,63200,1.8,*
Hampstead and Kilburn,E14000727,16200,96500,16.8,5.8,31700,96500,32.9,7.2,24100,96500,25,6.7,5600,96500,5.8,3.6,3200,96500,3.4,*,2400,96500,2.5,*,4000,96500,4.2,*,3800,96500,4,*
Harrow East,E14000731,6300,49000,12.8,5.9,9600,49000,19.6,7,8400,49000,17.1,6.6,4200,49000,8.6,4.9,7600,49000,15.4,6.3,2200,49000,4.6,*,1900,49000,3.9,*,3100,49000,6.3,*
Harrow West,E14000732,3000,54800,5.5,*,11700,54800,21.4,6.9,7300,54800,13.4,5.7,8200,54800,15,6,3400,54800,6.1,*,5600,54800,10.3,5.1,7000,54800,12.8,5.6,3500,54800,6.3,*
Hayes and Harlington,E14000737,5800,74100,7.8,4.5,11600,74100,15.7,6.1,10800,74100,14.6,5.9,7000,74100,9.5,4.9,4100,74100,5.5,*,10000,74100,13.5,5.7,10300,74100,13.8,5.8,8200,74100,11.1,5.2
Hendon,E14000741,4200,77300,5.4,*,22700,77300,29.4,8,9900,77300,12.8,5.8,12100,77300,15.6,6.3,6100,77300,7.8,*,5400,77300,7,4.5,4000,77300,5.2,*,5200,77300,6.7,*
Holborn and St Pancras,E14000750,15900,74400,21.4,6,23000,74400,30.9,6.8,15000,74400,20.2,5.9,2500,74400,3.4,*,3000,74400,4.1,*,3200,74400,4.2,*,3200,74400,4.3,*,2600,74400,3.6,*
Hornchurch and Upminster,E14000751,7800,61200,12.7,4.7,12200,61200,19.9,5.6,11200,61200,18.4,5.4,7900,61200,13,4.7,5500,61200,8.9,4,5500,61200,9,4,5800,61200,9.5,4.1,2200,61200,3.6,*
Hornsey and Wood Green,E14000752,11800,70700,16.7,5.6,26000,70700,36.8,7.2,14700,70700,20.8,6.1,3600,70700,5,*,4000,70700,5.6,*,3200,70700,4.5,*,3800,70700,5.4,*,1000,70700,1.4,*
Ilford North,E14000759,7500,65800,11.5,4.9,13400,65800,20.4,6.2,10400,65800,15.7,5.6,7300,65800,11.1,4.8,9100,65800,13.8,5.3,2000,65800,3,*,3600,65800,5.4,3.5,7700,65800,11.7,4.9
Ilford South,E14000760,3000,57800,5.1,*,16300,57800,28.2,7.4,6300,57800,11,5.1,6100,57800,10.6,5,5500,57800,9.4,4.8,4800,57800,8.3,4.5,3500,57800,6.1,*,4300,57800,7.5,4.3
Islington North,E14000763,8000,66000,12.1,5,21200,66000,32.2,7.2,14700,66000,22.2,6.4,6800,66000,10.3,4.7,2500,66000,3.8,*,4000,66000,6,3.7,3300,66000,5,*,1100,66000,1.7,*
Islington South and Finsbury,E14000764,8600,72400,11.9,4.9,23200,72400,32.1,7.1,18100,72400,25.1,6.6,6100,72400,8.4,4.2,3000,72400,4.1,*,4900,72400,6.8,3.8,1700,72400,2.4,*,3000,72400,4.1,*
Kensington,E14000768,12500,49100,25.5,6.2,8900,49100,18.2,5.5,11800,49100,24,6.1,3300,49100,6.7,3.6,2200,49100,4.5,*,3900,49100,7.9,3.9,2500,49100,5,3.1,!,49100,!,!
Kingston and Surbiton,E14000770,11600,62600,18.5,5.2,15900,62600,25.4,5.9,10200,62600,16.3,5,6300,62600,10.1,4.1,4200,62600,6.7,3.4,4300,62600,6.9,3.4,3300,62600,5.3,3,1800,62600,2.9,*
Lewisham East,E14000787,8700,48200,18,7.4,12700,48200,26.4,8.5,9400,48200,19.5,7.7,3100,48200,6.4,*,4500,48200,9.3,*,2100,48200,4.3,*,2800,48200,5.9,*,2400,48200,4.9,*
Lewisham West and Penge,E14000788,10500,72200,14.6,5.6,18100,72200,25,6.9,16500,72200,22.9,6.7,3800,72200,5.3,*,2700,72200,3.7,*,4300,72200,5.9,3.7,3500,72200,4.8,*,1300,72200,1.8,*
"Lewisham, Deptford",E14000789,13000,82700,15.7,5.5,21500,82700,26.1,6.6,16600,82700,20.1,6.1,8700,82700,10.5,4.6,3900,82700,4.7,*,6000,82700,7.2,3.9,5800,82700,7,3.8,!,82700,!,!
Leyton and Wanstead,E14000790,2300,42300,5.4,*,11400,42300,27,9.5,7800,42300,18.3,8.3,2900,42300,6.8,*,6500,42300,15.4,7.7,4300,42300,10.1,6.5,2300,42300,5.5,*,2600,42300,6.3,*
Mitcham and Morden,E14000823,7500,56700,13.2,4.9,7900,56700,13.9,5,7900,56700,13.9,5,7500,56700,13.3,4.9,8600,56700,15.1,5.2,4600,56700,8.2,4,4000,56700,7,3.7,4100,56700,7.3,3.8
Old Bexley and Sidcup,E14000869,7000,51300,13.7,5.4,12300,51300,24,6.7,9800,51300,19,6.1,5900,51300,11.5,5,5300,51300,10.4,4.8,4100,51300,8.1,4.3,!,51300,!,!,2900,51300,5.7,3.6
Orpington,E14000872,4100,36100,11.4,7,10200,36100,28.2,9.9,5200,36100,14.4,7.7,4500,36100,12.6,7.3,3300,36100,9.2,*,4400,36100,12.3,7.2,!,36100,!,!,!,36100,!,!
Poplar and Limehouse,E14000882,13300,97100,13.7,5.5,30400,97100,31.3,7.4,17200,97100,17.7,6.1,10100,97100,10.4,4.8,4800,97100,4.9,*,6600,97100,6.8,4,3000,97100,3.1,*,6000,97100,6.2,*
Putney,E14000887,7800,57900,13.4,6.5,22500,57900,38.8,9.4,9500,57900,16.3,7.1,4400,57900,7.6,*,!,57900,!,!,3600,57900,6.2,*,4400,57900,7.6,*,!,57900,!,!
Richmond Park,E14000896,16200,74900,21.6,5.2,22200,74900,29.6,5.7,18300,74900,24.4,5.4,4600,74900,6.1,3,2900,74900,3.8,*,5100,74900,6.8,3.2,2200,74900,3,*,800,74900,1.1,*
Romford,E14000900,5900,47700,12.4,5.4,11100,47700,23.3,6.9,7000,47700,14.7,5.8,6200,47700,12.9,5.5,4600,47700,9.6,4.8,5300,47700,11,5.1,3300,47700,6.9,4.1,2000,47700,4.1,*
"Ruislip, Northwood and Pinner",E14000906,7000,43000,16.3,7.2,16300,43000,37.9,9.5,6900,43000,16,7.2,3600,43000,8.4,*,4400,43000,10.3,*,1000,43000,2.4,*,!,43000,!,!,!,43000,!,!
Streatham,E14000978,9800,69900,14.1,6.3,20500,69900,29.3,8.3,16500,69900,23.5,7.7,2900,69900,4.2,*,4500,69900,6.4,*,4300,69900,6.1,*,1200,69900,1.7,*,1600,69900,2.2,*
Sutton and Cheam,E14000984,7400,53800,13.7,4.7,11500,53800,21.3,5.6,7900,53800,14.7,4.9,7300,53800,13.6,4.7,5700,53800,10.6,4.2,4100,53800,7.6,3.6,2600,53800,4.8,2.9,3000,53800,5.5,3.1
Tooting,E14000998,14700,72800,20.2,7.2,26800,72800,36.8,8.6,15300,72800,21,7.3,4800,72800,6.7,*,!,72800,!,!,2300,72800,3.1,*,4500,72800,6.2,*,!,72800,!,!
Tottenham,E14001002,7400,77800,9.5,4.4,14200,77800,18.3,5.8,8300,77800,10.7,4.6,5100,77800,6.6,3.7,14700,77800,18.8,5.9,6300,77800,8.1,4.1,4500,77800,5.8,3.5,5800,77800,7.5,4
Twickenham,E14001005,12200,66600,18.3,5.3,22000,66600,33.1,6.5,12200,66600,18.3,5.3,6000,66600,9.1,3.9,1400,66600,2,*,3300,66600,5,3,5300,66600,8,3.7,2100,66600,3.1,*
Uxbridge and South Ruislip,E14001007,7900,45900,17.2,7.8,8800,45900,19.2,8.2,7000,45900,15.2,7.4,5000,45900,11,6.5,4300,45900,9.4,*,6800,45900,14.9,7.4,1700,45900,3.7,*,1800,45900,3.9,*
Vauxhall,E14001008,7300,70600,10.4,5.3,20500,70600,29,7.9,21000,70600,29.8,7.9,3100,70600,4.4,*,1300,70600,1.9,*,4000,70600,5.7,*,4600,70600,6.5,*,!,70600,!,!
Walthamstow,E14001013,5100,62000,8.2,4.8,15900,62000,25.7,7.7,14100,62000,22.7,7.4,7600,62000,12.2,5.8,2200,62000,3.5,*,4500,62000,7.3,4.6,2800,62000,4.5,*,4200,62000,6.8,*
West Ham,E14001032,7300,105300,7,4.1,18300,105300,17.3,6.1,17300,105300,16.4,6,7200,105300,6.8,4.1,13300,105300,12.7,5.4,4600,105300,4.3,*,10000,105300,9.5,4.7,8300,105300,7.9,4.3
Westminster North,E14001036,14200,74700,19,6.3,27900,74700,37.4,7.8,12100,74700,16.3,5.9,4900,74700,6.6,4,1300,74700,1.8,*,7100,74700,9.5,4.7,3100,74700,4.1,*,1700,74700,2.3,*
Wimbledon,E14001040,8900,58800,15.2,5.1,20200,58800,34.3,6.7,12200,58800,20.8,5.8,6000,58800,10.2,4.3,1800,58800,3,*,2600,58800,4.5,2.9,2700,58800,4.5,*,1500,58800,2.6,*
Aldershot,E14000530,9200,60700,15.2,6.2,8800,60700,14.5,6,8100,60700,13.3,5.8,8700,60700,14.4,6,7900,60700,13.1,5.8,4700,60700,7.8,4.6,5100,60700,8.3,4.7,3300,60700,5.4,*
Arundel and South Downs,E14000534,8200,53000,15.4,7,13100,53000,24.8,8.4,12400,53000,23.3,8.2,2100,53000,4,*,7900,53000,14.8,6.9,3100,53000,5.8,*,3700,53000,6.9,*,1700,53000,3.3,*
Ashford,E14000536,11400,62800,18.2,7.5,14000,62800,22.3,8.1,8400,62800,13.4,6.6,7200,62800,11.5,6.2,4900,62800,7.8,*,4200,62800,6.7,*,5300,62800,8.5,*,1800,62800,2.8,*
Aylesbury,E14000538,7300,56800,12.9,5.6,12700,56800,22.4,6.9,7600,56800,13.3,5.7,7500,56800,13.2,5.6,6200,56800,10.9,5.2,4200,56800,7.4,4.3,5800,56800,10.1,5,1900,56800,3.3,*
Banbury,E14000539,9400,67200,13.9,5.9,13100,67200,19.6,6.7,11400,67200,16.9,6.3,7600,67200,11.3,5.4,5700,67200,8.5,4.7,5900,67200,8.8,4.8,5300,67200,7.9,4.6,4200,67200,6.2,*
Basingstoke,E14000545,6900,60600,11.3,5.7,14300,60600,23.5,7.7,8500,60600,14.1,6.3,5700,60600,9.4,5.3,7700,60600,12.7,6,4000,60600,6.6,*,6000,60600,9.9,5.4,2300,60600,3.7,*
Beaconsfield,E14000550,13000,51300,25.3,6.8,11700,51300,22.8,6.6,9400,51300,18.3,6.1,6000,51300,11.6,5,2400,51300,4.7,*,3500,51300,6.8,4,1400,51300,2.7,*,1700,51300,3.3,*
Bexhill and Battle,E14000557,4900,49200,9.9,5.5,10100,49200,20.6,7.4,9900,49200,20.2,7.3,2900,49200,5.9,*,4100,49200,8.3,5,8900,49200,18,7,2700,49200,5.5,*,1600,49200,3.3,*
Bognor Regis and Littlehampton,E14000576,4400,52600,8.3,*,11900,52600,22.6,8.8,4900,52600,9.3,*,6400,52600,12.2,6.9,4200,52600,7.9,*,6100,52600,11.5,*,4100,52600,7.7,*,4200,52600,8,*
Bracknell,E14000586,7100,62300,11.4,2.4,14600,62300,23.4,3.2,11500,62300,18.5,2.9,7100,62300,11.5,2.4,6500,62300,10.4,2.3,5600,62300,9,2.1,2900,62300,4.6,1.6,2400,62300,3.8,1.4
"Brighton, Kemptown",E14000597,4500,45300,10,4.7,8500,45300,18.8,6.1,9300,45300,20.6,6.3,2500,45300,5.5,3.5,4600,45300,10.1,4.7,4000,45300,8.9,4.4,3400,45300,7.6,4.1,2600,45300,5.8,*
"Brighton, Pavilion",E14000598,9000,67200,13.3,4.4,20300,67200,30.2,6,12500,67200,18.6,5.1,3900,67200,5.9,3.1,2800,67200,4.1,*,6000,67200,9,3.7,5200,67200,7.7,3.5,2600,67200,3.9,*
Buckingham,E14000608,12200,58600,20.8,6.7,12400,58600,21.1,6.8,9700,58600,16.5,6.1,4600,58600,7.9,4.5,5300,58600,9.1,4.8,4900,58600,8.4,4.6,4600,58600,7.8,4.4,!,58600,!,!
Canterbury,E14000619,4300,57600,7.4,*,19800,57600,34.3,9.3,6500,57600,11.3,6.2,8400,57600,14.5,6.9,8000,57600,13.9,6.8,!,57600,!,!,1900,57600,3.3,*,2900,57600,5.1,*
Chatham and Aylesford,E14000626,3400,45600,7.4,*,8600,45600,18.8,7,8400,45600,18.3,7,7600,45600,16.7,6.7,3200,45600,7.1,*,3700,45600,8.1,4.9,2300,45600,5.1,*,4800,45600,10.5,5.5
Chesham and Amersham,E14000631,8800,45100,19.4,6.6,12100,45100,26.9,7.5,5000,45100,11.1,5.3,5100,45100,11.2,5.3,3600,45100,8,4.6,3500,45100,7.8,4.5,3000,45100,6.6,*,1000,45100,2.2,*
Chichester,E14000633,8800,55200,15.9,6.9,8500,55200,15.3,6.8,6400,55200,11.6,6.1,6300,55200,11.3,6,9500,55200,17.2,7.2,3200,55200,5.8,*,2900,55200,5.2,*,1500,55200,2.7,*
Crawley,E14000652,4600,56400,8.1,*,11300,56400,19.9,8.1,11500,56400,20.5,8.2,5300,56400,9.4,*,1700,56400,3,*,5400,56400,9.7,6,5800,56400,10.3,6.2,5900,56400,10.5,*
Dartford,E14000659,5200,61600,8.4,5.4,14500,61600,23.5,8.3,9200,61600,15,7,7200,61600,11.7,6.3,5000,61600,8.2,5.4,5000,61600,8.2,5.4,2500,61600,4,*,5800,61600,9.4,*
Dover,E14000670,6200,46200,13.5,6.6,6800,46200,14.7,6.9,4500,46200,9.8,5.8,4000,46200,8.8,*,5100,46200,11.1,6.1,7000,46200,15.2,7,2300,46200,5.1,*,4200,46200,9.2,*
East Hampshire,E14000680,7200,49600,14.5,7.1,9000,49600,18.2,7.8,11200,49600,22.5,8.4,3800,49600,7.6,*,5500,49600,11.1,*,4800,49600,9.6,*,2700,49600,5.4,*,1800,49600,3.6,*
East Surrey,E14000681,9600,52500,18.4,7.8,8800,52500,16.7,7.5,9300,52500,17.7,7.7,5000,52500,9.6,*,5500,52500,10.5,6.2,3800,52500,7.2,*,2200,52500,4.2,*,!,52500,!,!
East Worthing and Shoreham,E14000682,6000,54700,10.9,6.1,12700,54700,23.1,8.2,7900,54700,14.5,6.8,4400,54700,8.1,*,4700,54700,8.5,*,7400,54700,13.5,6.6,5900,54700,10.8,6,2500,54700,4.6,*
Eastbourne,E14000684,5500,49300,11.1,6,11300,49300,23,8,7100,49300,14.3,6.7,2200,49300,4.6,*,4000,49300,8.2,*,6300,49300,12.8,6.4,2900,49300,5.9,*,3000,49300,6,*
Eastleigh,E14000685,6600,57700,11.4,5.7,10400,57700,18.1,6.9,8800,57700,15.2,6.4,6300,57700,10.9,5.6,6400,57700,11.1,5.6,5500,57700,9.5,5.3,4300,57700,7.5,*,2200,57700,3.8,*
Epsom and Ewell,E14000694,12500,53900,23.2,7.7,12900,53900,24,7.8,12200,53900,22.7,7.6,4800,53900,8.9,5.2,2100,53900,3.9,*,4000,53900,7.5,*,1200,53900,2.3,*,!,53900,!,!
Esher and Walton,E14000697,14500,53200,27.2,8.3,11300,53200,21.3,7.6,8900,53200,16.8,6.9,5600,53200,10.5,5.7,2600,53200,4.9,*,4100,53200,7.8,*,1900,53200,3.7,*,!,53200,!,!
Fareham,E14000699,5900,52000,11.3,5.5,12200,52000,23.4,7.4,9600,52000,18.4,6.8,7600,52000,14.7,6.2,2200,52000,4.2,*,4200,52000,8.1,*,2200,52000,4.3,*,2400,52000,4.6,*
Faversham and Mid Kent,E14000700,5800,47300,12.3,*,13600,47300,28.7,10.3,2300,47300,4.8,*,2300,47300,4.9,*,7000,47300,14.7,8.1,2900,47300,6.1,*,3100,47300,6.5,*,3000,47300,6.4,*
Folkestone and Hythe,E14000704,4100,53000,7.7,*,8300,53000,15.7,6.9,6500,53000,12.3,6.3,8600,53000,16.2,7,5800,53000,11,5.9,5700,53000,10.8,5.9,6400,53000,12.1,6.2,2100,53000,4,*
Gillingham and Rainham,E14000711,7400,59500,12.4,4.5,10500,59500,17.7,5.2,9300,59500,15.6,4.9,5300,59500,9,3.9,4300,59500,7.2,3.5,6500,59500,11,4.2,5300,59500,8.9,3.9,3000,59500,5.1,3
Gosport,E14000713,4500,48000,9.3,*,9300,48000,19.5,8.2,8700,48000,18.2,8,1900,48000,4,*,5500,48000,11.4,6.6,3900,48000,8.2,*,6900,48000,14.3,7.2,3400,48000,7.1,*
Gravesham,E14000715,3300,54300,6.1,*,6700,54300,12.4,7,13700,54300,25.3,9.2,7500,54300,13.8,7.3,4900,54300,8.9,*,3200,54300,5.8,*,2300,54300,4.1,*,2500,54300,4.5,*
Guildford,E14000719,5700,61800,9.3,5.7,14300,61800,23.1,8.3,15400,61800,25,8.5,4000,61800,6.5,*,6700,61800,10.8,6.1,6600,61800,10.7,6.1,2200,61800,3.6,*,3600,61800,5.9,*
Hastings and Rye,E14000735,4900,56800,8.6,5.4,16300,56800,28.8,8.7,6500,56800,11.5,6.2,5500,56800,9.8,5.7,5300,56800,9.4,*,5200,56800,9.1,5.5,5000,56800,8.8,*,5200,56800,9.2,*
Havant,E14000736,4700,47500,9.9,*,9600,47500,20.1,8.5,4000,47500,8.5,*,4500,47500,9.4,*,5900,47500,12.4,*,6100,47500,12.9,7.1,3300,47500,6.9,*,2500,47500,5.3,*
Henley,E14000742,7900,51600,15.3,6.4,13800,51600,26.8,7.9,6400,51600,12.4,5.9,4200,51600,8.2,*,5900,51600,11.4,5.7,5400,51600,10.5,5.5,3700,51600,7.2,*,1700,51600,3.4,*
Horsham,E14000753,6800,53300,12.8,6.3,12700,53300,23.8,8,10900,53300,20.4,7.6,7700,53300,14.5,6.6,5700,53300,10.8,5.8,1900,53300,3.6,*,2800,53300,5.3,*,1400,53300,2.7,*
